position,date,ticker,price,progress,trade_outcome
buy,2023-12-02_19-06-00__514233,XRP-USD,0.6171,0.0,0.0
sell,2023-12-02_20-40-51__667401,LUNC-USD,0.6197890043258667,0.004357485538594608,0.004357485538594608
