position,date,ticker,price,progress,trade_outcome
buy,2023-12-02_17-02-00__514233,LUNC-USD,0.00014904,0.0,0.0
sell,2023-12-03_10-58-33__383543,LUNC-USD,0.00017615087563171983,0.18190335233306376,0.18190335233306376
